x y z u v depth
1.069692 0.683415 0.644883 67.548793 41.684945 -2.158284
1.056985 0.781908 0.787820 68.998330 44.701228 -2.268254
1.012401 0.433796 0.305549 62.063014 34.291056 -1.881607
1.070273 0.678565 0.613566 67.136777 41.172419 -2.150866
1.057311 0.771607 0.747910 68.511599 44.065785 -2.254695
0.960013 0.502495 0.370577 62.250670 37.123101 -1.955517
1.017226 0.434719 0.277890 61.694656 33.753228 -1.880237
1.075580 0.683525 0.586414 66.821656 40.745856 -2.153561
1.060923 0.766085 0.708161 68.051070 43.419018 -2.245906
0.967012 0.496200 0.337796 61.851415 36.397720 -1.946528
1.026932 0.460302 0.282449 61.917047 34.047385 -1.906094
1.083635 0.712013 0.589873 66.910534 40.954339 -2.182225
1.066598 0.783892 0.698194 67.943966 43.346453 -2.262822
0.972761 0.490346 0.306898 61.458648 35.722116 -1.938136
1.033031 0.456460 0.255436 61.583637 33.437107 -1.900028
1.089411 0.725238 0.579708 66.818730 40.851553 -2.194557
1.069016 0.771208 0.654950 67.439541 42.606584 -2.246609
0.975544 0.472829 0.263046 60.808518 34.709933 -1.917056
1.034831 0.428184 0.199182 60.701001 32.012655 -1.867204
1.091385 0.701230 0.523513 66.130043 39.774907 -2.165991
1.073233 0.776706 0.632298 67.181294 42.278763 -2.250213
0.978318 0.483553 0.254917 60.727622 34.679260 -1.927069
1.038925 0.451246 0.205624 60.879301 32.415793 -1.890713
1.098371 0.732599 0.534095 66.303667 40.140450 -2.198116
1.080402 0.804865 0.638191 67.282925 42.501797 -2.278751
0.981360 0.508815 0.262246 60.898553 35.098448 -1.952845
1.040490 0.433205 0.164321 60.227759 31.396160 -1.869323
1.101246 0.712926 0.486967 65.738451 39.220839 -2.174617
1.086070 0.809189 0.616318 67.060545 42.160419 -2.281247
0.982855 0.490744 0.220091 60.253681 34.127787 -1.931355
1.043481 0.422443 0.130203 59.709672 30.577292 -1.855778
1.108880 0.730325 0.480546 65.721597 39.198618 -2.191415
1.093572 0.830050 0.612865 67.063324 42.189181 -2.301741
0.987538 0.487647 0.193778 59.909143 33.570484 -1.926091
1.051232 0.438810 0.126132 59.783099 30.650782 -1.871742
1.117162 0.728743 0.451488 65.440060 38.645889 -2.187429
1.100771 0.841391 0.598003 66.937635 41.986674 -2.311806
0.995585 0.504156 0.188333 59.961426 33.591318 -1.942082
1.062356 0.468151 0.134927 60.125479 31.098372 -1.901691
1.127292 0.745267 0.441802 65.416542 38.537725 -2.203082
1.107551 0.849644 0.579485 66.767578 41.715443 -2.318493
0.999018 0.496276 0.158307 59.535436 32.922921 -1.931746
1.065240 0.458111 0.104167 59.668679 30.362811 -1.889143
1.129510 0.737713 0.410434 65.031563 37.972905 -2.192962
1.110145 0.848157 0.552171 66.452240 41.296274 -2.314753
0.346188 0.641670 -0.047936 47.176079 41.270637 -2.060625
0.998601 0.490063 0.132393 59.112391 32.402257 -1.923417
1.062473 0.446369 0.074058 59.124289 29.690984 -1.874961
1.131966 0.767882 0.422217 65.176298 38.426335 -2.223997
1.113021 0.863741 0.544961 66.363963 41.295712 -2.329685
0.349863 0.659654 -0.053027 47.275701 41.314083 -2.078122
0.998132 0.496123 0.118575 58.894393 32.268867 -1.928317
1.058954 0.436308 0.043719 58.558461 29.046300 -1.862437
1.128979 0.751105 0.380617 64.597590 37.691091 -2.203849
